Var1,Var2,First_D_E_position,uH,R_count,H_count,K_count
S000000109,YBL013W,38,0.255704993642191,4,0,1
S000000110,YBL014C,3,0.347134174396033,0,0,0
S000000111,YBL015W,22,0.257155505627832,2,0,4
S000000112,YBL016W,12,0.547714600319294,1,0,1
S000000113,YBL017C,22,0.174808532544264,0,1,0
S000000114,YBL018C,8,0.771986074017469,1,0,2
S000000115,YBL019W,5,0.187869109074472,0,0,0
S000000116,YBL020W,13,0.264317483701156,0,0,2
S000000117,YBL021C,5,0.109745037366339,0,0,0
S000000118,YBL022C,45,0.225184855981072,5,0,2
S000000119,YBL023C,3,0.347134174396033,0,0,0
S000000120,YBL024W,19,0.113323897751153,3,0,5
S000000121,YBL025W,2,0.64,0,0,0
S000000122,YBL026W,12,0.389779736501352,0,0,1
S000000123,YBL027W,25,0.273512833888744,3,0,3
S000000124,YBL028C,27,0.202991313221486,3,1,4
S000000125,YBL029W,7,0.304431944460626,0,0,0
S000000126,YBL030C,20,0.0939385796175666,0,0,3
S000000127,YBL031W,3,0.54574956266191,0,0,0
S000000128,YBL032W,6,0.598647065411891,0,0,0
S000000129,YBL033C,4,0.283547968075109,0,0,0
S000000130,YBL034C,7,0.43238174384616,0,0,0
S000000131,YBL035C,6,0.279764584147132,0,0,0
S000000132,YBL036C,8,0.277164856281156,0,0,0
S000000133,YBL037W,2,0.64,0,0,0
S000000134,YBL038W,21,0.224965592812251,1,0,2
S000000135,YBL039C,40,0.153035635791433,0,0,3
S000000136,YBL040C,9,0.512531673528567,1,0,0
S000000137,YBL041W,7,0.319349300504521,0,0,0
S000000138,YBL042C,5,0.12868486471653,0,0,0
S000000139,YBL043W,10,0.301313764918666,0,0,0
S000000140,YBL044W,3,0.365140575546404,0,0,0
S000000141,YBL045C,28,0.101881091144336,2,0,3
S000000142,YBL046W,7,0.190657403142257,0,0,0
S000000143,YBL047C,14,0.156853117700148,1,0,0
S000000144,YBL048W,69,0.0247815855673316,1,0,1
S000000145,YBL049W,10,0.319757331792356,1,0,0
S000000146,YBL050W,3,0.347134174396033,0,0,0
S000000147,YBL051C,2,0.64,0,0,0
S000000148,YBL052C,7,0.153216595758692,0,0,0
S000000149,YBL053W,72,0.163260678021635,1,1,0
S000000150,YBL054W,59,0.0622133511033268,0,3,2
S000000151,YBL055C,33,0.324262752413583,1,0,3
S000000152,YBL056W,11,0.32123682154256,0,0,0
S000000153,YBL057C,2,0.64,0,0,0
S000000154,YBL058W,3,0.405028642877119,0,0,0
S000000155,YBL059W,4,0.305829939277158,0,0,0
S000000156,YBL060W,7,0.237540020089539,0,0,0
S000000157,YBL061C,23,0.0485913458204431,0,3,2
S000000158,YBL062W,28,0.20405149725969,0,0,1
S000000159,YBL063W,15,0.245198570129129,3,0,0
S000000160,YBL064C,45,0.281621787965673,2,1,3
S000000161,YBL065W,3,0.586324007235966,0,0,0
S000000162,YBL066C,4,0.816656611098282,0,0,1
S000000163,YBL067C,20,0.253768807975041,2,0,5
S000000164,YBL068W,4,0.393208329306328,0,0,0
S000000165,YBL069W,4,0.747840464907156,0,0,1
S000000166,YBL070C,11,0.185826501602319,0,0,0
S000000167,YBL071C,7,0.250909169749912,0,0,1
S000000168,YBL072C,6,0.624926189767882,1,0,0
S000000169,YBL073W,6,0.334182004963904,0,0,1
S000000170,YBL074C,12,0.149513478167487,0,0,0
S000000171,YBL075C,8,0.443705761852062,1,0,0
S000000172,YBL076C,3,0.347134174396033,0,0,0
S000000173,YBL077W,4,0.132466325725242,0,0,0
S000000174,YBL078C,8,0.499896460932722,0,0,2
S000000175,YBL079W,16,0.196349017170678,0,1,0
S000000176,YBL080C,26,0.273357741457575,4,2,1
S000000177,YBL081W,15,0.0971020690160054,0,0,0
S000000178,YBL082C,2,0.64,0,0,0
S000000179,YBL083C,9,0.190790559193807,0,0,0
S000000180,YBL084C,6,0.254023067530073,0,0,0
S000000181,YBL085W,4,0.220526140658604,0,0,0
S000000182,YBL086C,17,0.10540001949976,1,1,3
S000000183,YBL087C,27,0.0840194887829465,1,0,1
S000000184,YBL088C,2,0.64,0,0,0
S000000185,YBL089W,65,0.185130079624757,1,1,1
S000000186,YBL090W,21,0.493149823171384,4,0,1
S000000187,YBL091C,3,0.325274300925651,0,0,0
S000000188,YBL092W,23,0.355087345281793,1,4,6
S000000189,YBL093C,6,0.711291609812313,1,0,0
S000000190,YBL094C,52,0.21691941977365,1,1,1
S000000191,YBL095W,36,0.361892568065484,2,0,1
S000000192,YBL096C,28,0.134521928063049,1,0,0
S000000193,YBL097W,8,0.41840790511919,1,0,0
S000000194,YBL098W,3,0.347134174396033,0,0,0
S000000195,YBL099W,44,0.258646380731655,4,0,1
S000000196,YBL100C,28,0.258019417089398,2,0,3
S000000197,YBL101C,19,0.194883381177121,1,1,1
S000000198,YBL102W,3,0.347134174396033,0,0,0
S000000199,YBL103C,6,0.221148730086401,0,0,0
S000000200,YBL104C,13,0.353106927366741,0,1,2
S000000201,YBL105C,7,0.343015915685575,0,0,0
S000000202,YBL106C,22,0.232113957126613,2,2,4
S000000203,YBL107C,3,0.586324007235966,0,0,0
S000000204,YBL108W,2,0.64,0,0,0
S000000205,YBR001C,3,0.586324007235966,0,0,0
S000000206,YBR002C,2,0.64,0,0,0
S000000207,YBR003W,52,0.0823380686767488,4,2,2
S000000208,YBR004C,29,0.204864353138091,2,0,0
S000000209,YBR005W,7,0.178436906676882,0,0,0
S000000210,YBR006W,13,0.33035805002408,0,0,2
S000000211,YBR007C,12,0.253599156077067,0,0,1
S000000212,YBR008C,14,0.154228211948807,1,1,0
S000000213,YBR009C,25,0.414003989888473,4,1,5
S000000214,YBR010W,51,0.18089111887881,4,0,6
S000000215,YBR011C,15,0.124028199231022,1,0,1
S000000216,YBR012C,16,0.267868244348251,1,0,2
S000000217,YBR013C,23,0.192109649302832,1,0,0
S000000218,YBR014C,36,0.132674110067669,3,0,1
S000000219,YBR015C,32,0.106358072464516,1,0,4
S000000220,YBR016W,5,0.103897058144346,0,0,0
S000000221,YBR017C,9,0.371122716992143,0,0,1
S000000222,YBR018C,4,0.0898391194984657,0,0,0
S000000223,YBR019C,8,0.208327217557444,0,0,0
S000000224,YBR020W,7,0.302757162883017,0,1,1
S000000225,YBR021W,3,0.315169652691356,0,0,0
S000000226,YBR022W,47,0.149247799373976,1,1,3
S000000227,YBR023C,7,0.229364036609565,0,0,0
S000000228,YBR024W,44,0.208281686042512,3,0,2
S000000229,YBR025C,8,0.241155030116341,0,0,2
S000000230,YBR026C,29,0.428661853267981,1,3,3
S000000231,YBR027C,36,0.223619051624439,1,0,1
S000000232,YBR028C,6,0.366277738998911,0,0,0
S000000233,YBR029C,3,0.347134174396033,0,0,0
S000000234,YBR030W,7,0.303668095698474,0,0,1
S000000235,YBR031W,14,0.211133128030524,1,1,0
S000000236,YBR032W,14,0.371606004373299,2,0,0
S000000237,YBR033W,15,0.428602980833597,1,2,0
S000000238,YBR034C,8,0.528634806012994,0,0,2
S000000239,YBR035C,6,0.529127042846765,0,0,1
S000000240,YBR036C,29,0.0769436603525002,0,0,3
S000000241,YBR037C,60,0.117257798711535,3,0,2
S000000242,YBR038W,9,0.357494397416921,1,0,0
S000000243,YBR039W,38,0.169926743733491,2,1,1
S000000244,YBR040W,53,0.30020356126432,2,0,1
S000000245,YBR041W,42,0.462625037417593,2,0,1
S000000246,YBR042C,45,0.220764915668907,1,2,3
S000000247,YBR043C,19,0.0923074389219321,1,0,0
S000000248,YBR044C,36,0.214638438402701,3,2,4
S000000249,YBR045C,2,0.64,0,0,0
S000000250,YBR046C,7,0.27971555470202,0,0,1
S000000251,YBR047W,25,0.133734925063883,2,2,3
S000000252,YBR048W,4,0.245294199928429,0,0,0
S000000253,YBR049C,7,0.275365376867889,0,1,0
S000000254,YBR050C,7,0.236748958700605,0,0,0
S000000255,YBR051W,16,0.00973477408445155,0,2,1
S000000256,YBR052C,12,0.310248678403484,0,0,1
S000000257,YBR053C,6,0.383051348481943,0,0,0
S000000258,YBR054W,3,0.347134174396033,0,0,0
S000000259,YBR055C,2,0.64,0,0,0
S000000260,YBR056W,10,0.373821968595988,1,0,1
S000000261,YBR057C,7,0.234821387096002,0,0,0
S000000262,YBR058C,3,0.405028642877119,0,0,0
S000000263,YBR059C,20,0.299317817809594,1,1,0
S000000264,YBR060C,5,0.425366393477519,0,0,0
S000000265,YBR061C,7,0.481337744699983,0,0,2
S000000266,YBR062C,5,0.232915392711556,0,0,0
S000000267,YBR063C,2,0.64,0,0,0
S000000268,YBR064W,2,0.64,0,0,0
S000000269,YBR065C,3,0.54574956266191,0,0,0
S000000270,YBR066C,7,0.348949488524505,0,0,1
S000000271,YBR067C,20,0.174190931966314,0,0,1
S000000272,YBR068C,5,0.350966442479597,0,0,0
S000000273,YBR069C,2,0.64,0,0,0
S000000274,YBR070C,35,0.0902532639401706,1,1,1
S000000275,YBR071W,15,0.29484426204926,2,0,1
S000000276,YBR072W,9,0.18800212946317,0,0,0
S000000277,YBR073W,12,0.174686127606961,3,0,1
S000000278,YBR074W,36,0.269907989851378,2,0,4
S000000279,YBR075W,10,0.714518293890995,4,0,1
S000000280,YBR076W,2,0.64,0,0,0
S000000281,YBR077C,14,0.309863476378381,0,1,2
S000000282,YBR078W,43,0.0346164567158407,0,0,1
S000000283,YBR079C,9,0.44810168583364,1,0,0
S000000284,YBR080C,18,0.207332105415503,0,1,2
S000000285,YBR081C,3,0.325274300925651,0,0,0
S000000286,YBR082C,10,0.616744192598123,1,0,2
S000000287,YBR083W,5,0.334784537006685,0,0,1
S000000288,YBR084W,49,0.115507683040808,5,0,1
S000000289,YBR085W,4,0.282776181232263,0,0,0
S000000290,YBR086C,9,0.470784710406844,0,0,0
S000000291,YBR087W,6,0.20821649358779,0,0,0
S000000292,YBR088C,3,0.586324007235966,0,0,0
S000000293,YBR089W,17,0.0921659362158774,0,0,0
S000000294,YBR090C,43,0.156529506098355,3,0,0
S000000295,YBR091C,13,0.310545118492762,1,0,0
S000000296,YBR092C,24,0.117089004854821,0,0,1
S000000297,YBR093C,27,0.0655877421625408,0,0,2
S000000298,YBR094W,8,0.438572549196338,1,0,0
S000000299,YBR095C,12,0.263113231953014,1,0,1
S000000300,YBR096W,47,0.125292351999447,2,0,1
S000000301,YBR097W,22,0.0265045389981344,0,0,0
S000000302,YBR098W,6,0.607605954627631,0,0,0
S000000303,YBR099C,8,0.301430208872632,1,0,0
S000000304,YBR100W,2,0.64,0,0,0
S000000305,YBR101C,2,0.64,0,0,0
S000000306,YBR102C,3,0.586324007235966,0,0,0
S000000307,YBR103W,6,0.217465132553515,0,0,0
S000000308,YBR104W,3,0.347134174396033,0,0,0
S000000309,YBR105C,8,0.21566209726345,0,0,1
S000000310,YBR106W,22,0.128838074530254,2,0,0
S000000311,YBR107C,17,0.127199560932738,0,0,2
S000000312,YBR108W,5,0.165099014634844,0,0,0
S000000313,YBR109C,7,0.302629461182509,0,0,0
S000000314,YBR110W,4,0.335220988469852,0,0,0
S000000315,YBR111C,28,0.466598916200005,5,0,2
S000000316,YBR112C,6,0.313277263326613,0,0,0
S000000317,YBR113W,35,0.0760954488577956,3,2,3
S000000318,YBR114W,3,0.574680175685054,0,0,0
S000000319,YBR115C,4,0.466220982189695,0,0,0
S000000320,YBR116C,15,0.243992721741398,0,0,4
S000000321,YBR117C,6,0.362207490297352,0,0,0
S000000322,YBR118W,4,0.733149504791998,0,0,1
S000000323,YBR119W,17,0.286385297738924,1,0,1
S000000324,YBR120C,9,0.455510170825733,1,0,0
S000000325,YBR121C,4,0.220526140658604,0,0,0
S000000326,YBR122C,50,0.170256882470249,4,0,3
S000000327,YBR123C,4,0.162753156972191,0,0,0
S000000328,YBR124W,13,0.146374009839062,0,1,0
S000000329,YBR125C,11,0.387795932277454,0,1,0
S000000330,YBR126C,4,0.232136351266197,0,0,0
S000000331,YBR127C,5,0.273846503767594,0,0,0
S000000332,YBR128C,32,0.153193149889823,1,5,2
S000000333,YBR129C,13,0.0885349459007679,0,1,0
S000000334,YBR130C,3,0.347134174396033,0,0,0
S000000335,YBR131W,10,0.0690837717723057,1,1,0
S000000336,YBR132C,4,0.703276150015814,0,0,1
S000000337,YBR133C,26,0.0136434271282351,1,3,4
S000000338,YBR134W,7,0.535143801264072,0,0,1
S000000339,YBR135W,15,0.143307429609406,1,3,1
S000000340,YBR136W,2,0.64,0,0,0
S000000341,YBR137W,5,0.0619994120781409,0,0,0
S000000342,YBR138C,2,0.64,0,0,0
S000000343,YBR139W,29,0.169583401328157,1,0,2
S000000344,YBR140C,5,0.37965415167365,0,0,0
S000000345,YBR141C,54,0.267781910253687,4,1,6
S000000346,YBR142W,18,0.288915596808739,1,0,5
S000000347,YBR143C,2,0.64,0,0,0
S000000348,YBR144C,4,0.318556520587113,0,0,0
S000000349,YBR145W,8,0.34571776328994,0,0,0
S000000350,YBR146W,30,0.133617180688977,5,0,1
S000000351,YBR147W,35,0.0846516680098012,0,0,2
S000000352,YBR148W,6,0.396391746781841,0,0,0
S000000353,YBR149W,9,0.219635036549096,0,0,0
S000000354,YBR150C,4,0.33408988913789,0,0,0
S000000355,YBR151W,13,0.210397810220687,1,0,2
S000000356,YBR152W,11,0.632222567990426,3,1,1
S000000357,YBR153W,8,0.183333216108738,0,0,0
S000000358,YBR154C,2,0.64,0,0,0
S000000359,YBR155W,22,0.112797831741412,0,0,2
S000000360,YBR156C,2,0.64,0,0,0
S000000361,YBR157C,5,0.641686318804131,0,0,1
S000000362,YBR158W,4,0.619404398268998,0,0,1
S000000363,YBR159W,9,0.394059492006234,0,0,0
S000000364,YBR160W,4,0.135428455496884,0,0,0
S000000365,YBR161W,4,0.834385837576109,0,0,2
S000000366,YBR162C,24,0.218773703244461,0,0,1
S000000367,YBR163W,24,0.151877982373126,3,2,1
S000000368,YBR164C,10,0.461731698454557,0,0,0
S000000369,YBR165W,12,0.599618334690435,1,0,2
S000000370,YBR166C,4,0.433688729137762,0,0,0
S000000371,YBR167C,53,0.0954454245084011,1,4,7
S000000372,YBR168W,2,0.64,0,0,0
S000000373,YBR169C,8,0.113101060462065,0,0,0
S000000374,YBR170C,18,0.0657975331026889,3,1,1
S000000375,YBR171W,3,0.347134174396033,0,0,0
S000000376,YBR172C,5,0.267541304744995,0,0,0
S000000377,YBR173C,7,0.462169708969168,0,0,0
S000000378,YBR174C,5,0.394792479245908,0,0,0
S000000379,YBR175W,24,0.0449109821903629,0,0,2
S000000380,YBR176W,30,0.318955461203568,2,0,4
S000000381,YBR177C,3,0.347134174396033,0,0,0
S000000382,YBR178W,2,0.64,0,0,0
S000000383,YBR179C,3,0.347134174396033,0,0,0
S000000384,YBR180W,4,0.30041122640869,0,0,0
S000000385,YBR181C,17,0.242346460258139,0,0,2
S000000386,YBR182C,7,0.579148419463319,2,0,1
S000000387,YBR183W,10,0.276555171070693,1,0,0
S000000388,YBR184W,14,0.167136852065278,0,0,0
S000000389,YBR185C,36,0.176910389219396,5,0,1
S000000390,YBR186W,6,0.423063660576464,0,0,0
S000000391,YBR187W,26,0.15590703601539,0,0,2
S000000392,YBR188C,6,0.489751759484878,1,0,0
S000000393,YBR189W,20,0.526719114110414,3,0,2
S000000394,YBR190W,16,0.211650625441391,1,0,0
S000000395,YBR191W,18,0.118193943982776,4,1,1
S000000396,YBR192W,7,0.452551091915037,0,0,2
S000000397,YBR193C,11,0.25486240943196,0,0,0
S000000398,YBR194W,2,0.64,0,0,0
S000000399,YBR195C,7,0.597495152178249,0,0,1
S000000400,YBR196C,14,0.204618217691953,0,0,1
S000000401,YBR197C,15,0.191064919531008,0,0,2
S000000402,YBR198C,59,0.0306586254961168,1,1,2
S000000403,YBR199W,34,0.32422765547323,2,0,2
S000000404,YBR200W,11,0.506549661197799,1,0,3
S000000405,YBR201W,2,0.64,0,0,0
S000000406,YBR202W,13,0.215192083692815,0,0,0
S000000407,YBR203W,26,0.172601791562605,2,0,0
S000000408,YBR204C,5,0.399750546844933,0,0,0
S000000409,YBR205W,48,0.275219830090059,2,2,6
S000000410,YBR206W,25,0.143597850643512,1,0,1
S000000411,YBR207W,4,0.209347253334416,0,0,0
S000000412,YBR208C,6,0.144782184021824,0,0,0
S000000413,YBR209W,15,0.225603813333468,1,1,2
S000000414,YBR210W,32,0.184511155977615,0,0,0
S000000415,YBR211C,2,0.64,0,0,0
S000000416,YBR212W,13,0.423545678957186,1,0,0
S000000417,YBR213W,13,0.259603153026731,0,1,2
S000000418,YBR214W,29,0.0281893327146876,1,1,0
S000000419,YBR215W,2,0.64,0,0,0
S000000420,YBR216C,2,0.64,0,0,0
S000000421,YBR217W,6,0.913278653956471,1,0,0
S000000422,YBR218C,12,0.0616479588901394,1,0,2
S000000423,YBR219C,52,0.290324137336347,1,0,0
S000000424,YBR220C,2,0.64,0,0,0
S000000425,YBR221C,43,0.315477722961038,5,0,0
S000000426,YBR222C,13,0.174464415706159,0,0,0
S000000427,YBR223C,4,1.03186678547772,1,0,0
S000000428,YBR224W,4,0.404364621368831,0,0,0
S000000429,YBR225W,6,0.169909092043189,0,0,1
S000000430,YBR226C,5,0.594209374022578,0,0,0
S000000431,YBR227C,47,0.230954705314408,3,0,2
S000000432,YBR228W,12,0.186180855460741,0,1,1
S000000433,YBR229C,23,0.149609713329489,0,1,1
S000000434,YBR230C,8,0.281496879676701,0,1,1
S000000435,YBR231C,3,0.315169652691356,0,0,0
S000000436,YBR232C,6,0.0410047829613125,0,0,0
S000000437,YBR233W,4,0.245294199928429,0,0,0
S000000438,YBR234C,8,0.0511331017228464,0,0,1
S000000439,YBR235W,23,0.0817044807277963,2,1,0
S000000440,YBR236C,6,0.243499161449474,0,0,1
S000000441,YBR237W,2,0.64,0,0,0
S000000442,YBR238C,41,0.18357249118226,1,2,3
S000000443,YBR239C,5,0.181107546270507,0,0,0
S000000444,YBR240C,41,0.0949549093182389,3,0,5
S000000445,YBR241C,3,0.405028642877119,0,0,0
S000000446,YBR242W,16,0.0461815299681443,0,0,2
S000000447,YBR243C,40,0.0594486397887389,1,0,1
S000000448,YBR244W,7,0.283132813748835,0,0,0
S000000449,YBR245C,24,0.212513704052343,2,2,3
S000000450,YBR246W,2,0.64,0,0,0
S000000451,YBR247C,15,0.360219843552199,3,1,2
S000000452,YBR248C,8,0.373337395360712,0,1,0
S000000453,YBR249C,3,0.347134174396033,0,0,0
S000000454,YBR250W,13,0.220819752146874,0,0,0
S000000455,YBR251W,17,0.552572870523303,2,1,1
S000000456,YBR252W,6,0.0694908386792256,0,0,0
S000000457,YBR253W,8,0.253244173426981,0,0,0
S000000458,YBR254C,12,0.386223735819175,0,0,2
S000000459,YBR255W,6,0.109346104211786,0,1,0
S000000460,YBR256C,7,0.428573348412108,0,0,0
S000000461,YBR257W,2,0.64,0,0,0
S000000462,YBR258C,6,0.199068996471029,0,0,0
S000000463,YBR259W,4,0.306521350575969,0,0,0
S000000464,YBR260C,2,0.64,0,0,0
S000000465,YBR261C,2,0.64,0,0,0
S000000466,YBR262C,37,0.184676218917528,2,0,2
S000000467,YBR263W,35,0.14614775095197,3,1,1
S000000468,YBR264C,2,0.64,0,0,0
S000000469,YBR265W,6,0.25628556884667,0,0,1
S000000470,YBR266C,66,0.282433136063019,3,1,1
S000000471,YBR267W,17,0.171731693595449,0,0,0
S000000472,YBR268W,46,0.11049406063721,3,0,2
S000000473,YBR269C,36,0.182027651683564,4,0,1
S000000474,YBR270C,4,0.284721954223019,0,0,0
S000000475,YBR271W,3,0.629062079429287,0,0,0
S000000476,YBR272C,3,0.347134174396033,0,0,0
S000000477,YBR273C,3,0.586324007235966,0,0,0
S000000478,YBR274W,14,0.0480960987796696,0,1,1
S000000479,YBR275C,4,0.702570546564801,0,0,1
S000000480,YBR276C,4,0.305829939277158,0,0,0
S000000481,YBR277C,36,0.158613583696083,1,0,1
S000000482,YBR278W,7,0.68364432523505,0,0,1
S000000483,YBR279W,6,0.256641551679341,0,0,2
S000000484,YBR280C,3,0.347134174396033,0,0,0
S000000485,YBR281C,3,0.323809313667954,0,0,0
S000000486,YBR282W,26,0.37757167149271,2,0,4
S000000487,YBR283C,8,0.625279950698272,1,0,0
S000000488,YBR284W,6,0.313969412103933,0,0,0
S000000489,YBR285W,11,0.401727253902539,1,0,0
S000000490,YBR286W,30,0.0708575039110206,0,1,1
S000000491,YBR287W,3,0.586324007235966,0,0,0
S000000492,YBR288C,9,0.0747627011019297,0,0,0
S000000493,YBR289W,171,0.340030881168545,0,0,0
S000000494,YBR290W,3,0.315169652691356,0,0,0
S000000495,YBR291C,9,0.392767798829606,0,0,2
S000000496,YBR292C,6,0.324498391059315,0,0,1
S000000497,YBR293W,27,0.225490382481707,0,0,0
S000000498,YBR294W,8,0.415731179911595,1,0,1
S000000499,YBR295W,4,0.570144334408976,0,0,1
S000000500,YBR296C,7,0.401729337058477,0,1,0
S000000501,YBR297W,9,0.383107299256424,0,0,1
S000000502,YBR298C,13,0.395633307307576,1,0,3
S000000503,YBR299W,5,0.210861220084101,0,0,0
S000000504,YBR300C,9,0.0695036510985637,0,0,0
S000000505,YBR301W,28,0.0418330936818677,0,0,1
S000000506,YBR302C,3,0.865015101186174,0,0,1
S000000507,YCL001W,2,0.64,0,0,0
S000000508,YCL002C,37,0.260933789617274,2,1,2
S000000509,YCL003W,3,0.586324007235966,0,0,0
S000000510,YCL004W,63,0.416772269121978,4,1,2
S000000511,YCL005W,5,0.0390039190078786,0,0,0
S000000512,YCL006C,24,0.197501358233918,1,0,0
S000000513,YCL007C,2,0.64,0,0,0
S000000514,YCL008C,11,0.0604262997898232,0,0,1
S000000515,YCL009C,50,0.121539432854276,4,1,0
S000000516,YCL010C,2,0.64,0,0,0
S000000517,YCL011C,2,0.64,0,0,0
S000000518,YCL012W,2,0.64,0,0,0
S000000519,YCL013W,6,0.680107009334852,1,0,0
S000000520,YCL014W,2,0.64,0,0,0
S000000521,YCL016C,10,0.107470298689819,0,1,0
S000000522,YCL017C,44,0.24390236572437,3,0,1
S000000523,YCL018W,13,0.240111247005572,0,0,2
S000000524,YCL019W,2,0.64,0,0,0
